Subjectline,Region,Division,MAP_B&B,Email_Type,tactic_nm,tactic_id,# of Contacts,# of Emails Sent,Delivered,Bounced,Deliver Rate,Opened,Open Rate,Clicked,Click Rate,Sum of Win $
Meet your early-phase advantage,EMEA,To Be Mapped,MAP,Awareness,PD Express Email-Email3-EMEA,EM5087812,15946,15847,15774,73,100%,18713,118%,15498,83%,
Media screening made easy: a panel approach,AMER,BCD,MAP,Awareness,BPG - CCCT - eP(5) - MAP - Gibco Media by Design -,EM5103776,4448,4448,4448,0,100%,1259,28%,83,7%,$225323
Media screening made easy: a panel approach,APJ,BCD,MAP,Awareness,BPG - CCCT - eP(5) - MAP - Gibco Media by Design -,EM5103776,846,846,846,0,100%,174,21%,9,5%,
Media screening made easy: a panel approach,EMEA,BCD,MAP,Awareness,BPG - CCCT - eP(5) - MAP - Gibco Media by Design -,EM5103776,5892,5892,5892,0,100%,1894,32%,62,3%,$1
Media screening made easy: a panel approach,To Be Mapped,BCD,MAP,Awareness,BPG - CCCT - eP(5) - MAP - Gibco Media by Design -,EM5103776,5308,5308,5308,0,100%,1344,25%,69,5%,
Media challenges? Analytics can help,AMER,BCD,Batch & Blast,Awareness,CCCT - SO No edits - BioProduct Analysis Email-Ame,EM5093616,4728,4728,4713,15,100%,2090,44%,216,10%,$599061
Media challenges? Analytics can help,EMEA,BCD,Batch & Blast,Awareness,Q3_CCCT-Analytics-Email1-EMEA,EM5093527,15328,15423,15270,153,99%,9562,62%,2058,22%,$1917639
Media challenges? Analytics can help,To Be Mapped,BCD,Batch & Blast,Awareness,CCCT - SO No edits - BioProduct Analysis Email-Ame,EM5093616,1235,1235,1217,18,99%,599,49%,233,39%,
Measuring residual plasmid DNA in bioproduction?,AMER,PPA,MAP,Consideration,eP3 - MAP - PA NPI KanR resDNASEQ - Awareness - EM,EM5091587,467,473,473,0,100%,166,35%,18,11%,$69175
Measuring residual plasmid DNA in bioproduction?,EMEA,PPA,MAP,Consideration,eP3 - MAP - PA NPI KanR resDNASEQ - Awareness - EM,EM5091587,186,186,186,0,100%,72,39%,5,7%,
Measure proviral lentivirus,AMER,PPA,Batch & Blast,Awareness,SO-EM- PHA- ViralSE Lentivirus Proviral DNA Titer,EM5095700,4736,4736,4715,21,100%,2361,50%,257,11%,$50963
Measure proviral lentivirus,EMEA,PPA,Batch & Blast,Awareness,2022_Q3_Lentivirus Proviral NPI Email 1-Email1-EMEA,EM5095838,17546,17642,17420,222,99%,10209,58%,1705,17%,$16000
Measure proviral lentivirus,To Be Mapped,PPA,Batch & Blast,Awareness,SO-EM- PHA- ViralSE Lentivirus Proviral DNA Titer,EM5095700,1150,1150,1127,23,98%,680,59%,175,26%,
Measure lentiviral count with qPCR,AMER,PPA,Batch & Blast,Awareness,SO-no edits- PHA -ViralSEQ Lentivirus Physical Tit,EM5096790,5922,5922,5890,32,99%,2498,42%,215,9%,$58180
Measure lentiviral count with qPCR,EMEA,PPA,Batch & Blast,Awareness,2022_Q4_Lentivirus Physical Kit NPI-Email4-EMEA,EM5096904,17296,17296,17070,226,99%,9902,57%,1499,15%,$56310
Measure lentiviral count with qPCR,To Be Mapped,PPA,Batch & Blast,Awareness,SO-no edits- PHA -ViralSEQ Lentivirus Physical Tit,EM5096790,850,850,828,22,97%,453,53%,94,21%,
Maximize your available resources,AMER,SUD,Batch & Blast,Awareness,eT1 BPG-SUD NA Financing Email - Long Version,EM5104574,2586,2586,2586,0,100%,735,28%,60,8%,$120000
Maximize your available resources,To Be Mapped,SUD,Batch & Blast,Awareness,eT1 BPG-SUD NA Financing Email - Long Version,EM5104574,222,222,222,0,100%,36,16%,1,3%,
Maximize product yield with a smaller footprint,AMER,To Be Mapped,MAP,Awareness,eT3-MAP CDMP for DD Resources EM4-Global,EM5084593,1184,1219,1217,2,100%,440,36%,167,38%,
Maximize product yield with a smaller footprint,APJ,To Be Mapped,MAP,Awareness,eT3-MAP CDMP for DD Resources EM4-Global,EM5084593,395,396,394,2,99%,92,23%,39,42%,
Maximize product yield with a smaller footprint,EMEA,To Be Mapped,MAP,Awareness,eT3-MAP CDMP for DD Resources EM4-Global,EM5084593,367,369,368,1,100%,112,30%,14,13%,
Maximize product yield with a smaller footprint,To Be Mapped,To Be Mapped,MAP,Awareness,eT3-MAP CDMP for DD Resources EM4-Global,EM5084593,741,741,713,28,96%,202,27%,159,79%,
Maximize outsourcing benefits,AMER,To Be Mapped,Batch & Blast,Webinar,BPG-PLPS - NEW EM - KC Seminar Scheduling Q3 - AME,EM5104917,978,978,978,0,100%,320,33%,41,13%,
Maximize outsourcing benefits,To Be Mapped,To Be Mapped,Batch & Blast,Webinar,BPG-PLPS - NEW EM - KC Seminar Scheduling Q3 - AME,EM5104917,175,175,175,0,100%,52,30%,1,2%,
Maximize manufacturing—contact us,AMER,SUD,MAP,Awareness,eT2-MAP CDMO DynaDrive and PCS Part 1 EM7-Global,EM5084619,1408,1452,1449,3,100%,634,44%,255,40%,
Maximize manufacturing—contact us,APJ,SUD,MAP,Awareness,eT2-MAP CDMO DynaDrive and PCS Part 1 EM7-Global,EM5084619,471,475,472,3,99%,147,31%,47,32%,
Maximize manufacturing—contact us,EMEA,SUD,MAP,Awareness,eT2-MAP CDMO DynaDrive and PCS Part 1 EM7-Global,EM5084619,414,417,416,1,100%,148,35%,37,25%,
Maximize manufacturing—contact us,To Be Mapped,SUD,MAP,Awareness,eT2-MAP CDMO DynaDrive and PCS Part 1 EM7-Global,EM5084619,939,942,900,42,96%,317,34%,279,88%,
Maximize drug product recovery,AMER,SUD,Batch & Blast,Awareness,BPG-DIV SO no edits Fill Finish NPI Email,EM5104178,3527,3527,3527,0,100%,1807,51%,101,6%,
Maximize drug product recovery,To Be Mapped,SUD,Batch & Blast,Awareness,BPG-DIV SO no edits Fill Finish NPI Email,EM5104178,236,236,236,0,100%,118,50%,8,7%,
Maximise drug product recovery,EMEA,SUD,Batch & Blast,Awareness,Fill-Finish-BatchandBlast-Email2-Email3-EMEA,EM5104848,20350,20352,20352,0,100%,5684,28%,106,2%,
Maximise drug product recovery,EMEA,To Be Mapped,Batch & Blast,Webinar,FillFinish-KC-SeminarEmail-Email8-EMEA,EM5105129,12113,12115,12115,0,100%,3265,27%,118,4%,
Master IND: watch our event,AMER,PPA,Batch & Blast,Video,BPG-PPA - eT2 BioTech Campaign Resin Selection Too,EM5104259,6674,6674,6674,0,100%,1238,19%,116,9%,$3935
MassBio: Attend CHO Solutions Day,AMER,BCD,Batch & Blast,Event,BPG-CCCT - Minor Edits EM - CHO Solutions Day - AM,EM5107545,2307,2307,2307,0,100%,720,31%,133,18%,
MassBio: Attend CHO Solutions Day,AMER,BCD,Batch & Blast,Event,BPG-CCCT - New Email - CHO Solutions Day 2023 - GL,EM5106556,2231,2231,2231,0,100%,735,33%,33,4%,$5002
MassBio: Attend CHO Solutions Day,To Be Mapped,BCD,Batch & Blast,Event,BPG-CCCT - Minor Edits EM - CHO Solutions Day - AM,EM5107545,493,493,493,0,100%,173,35%,22,13%,
MassBio: Attend CHO Solutions Day,To Be Mapped,BCD,Batch & Blast,Event,BPG-CCCT - New Email - CHO Solutions Day 2023 - GL,EM5106556,374,374,374,0,100%,128,34%,9,7%,
Make the switch: new Protein A resin,EMEA,PPA,Batch & Blast,Awareness,PUR 2- Email 3- MabCapture C-Eval EMEA,EM5090224,9639,12129,12029,100,99%,9837,81%,2209,22%,$2401385
Maintaining media quality throughout scale-up,AMER,BCD,MAP,Awareness,RO-eT1-MAP COF GMP Track EM2-Global,EM5082738,1279,2382,2381,1,100%,2812,118%,3008,107%,
Maintaining media quality throughout scale-up,EMEA,BCD,MAP,Awareness,RO-eT1-MAP COF GMP Track EM2-Global,EM5082738,89,147,147,0,100%,112,76%,17,15%,
Maintaining media quality throughout scale-up,To Be Mapped,BCD,MAP,Awareness,RO-eT1-MAP COF GMP Track EM2-Global,EM5082738,541,927,921,6,99%,1126,121%,1533,136%,
Magnetic isolation in sterile culture bags—video,AMER,BCD,MAP,Awareness,CCCT-eT2-MAP Cell Therapy Day 56 EM9-Global,EM5085833,2821,2866,2863,3,100%,953,33%,163,17%,$333284
Magnetic isolation in sterile culture bags—video,APJ,BCD,MAP,Awareness,CCCT-eT2-MAP Cell Therapy Day 56 EM9-Global,EM5085833,702,706,703,3,100%,176,25%,20,11%,
Magnetic isolation in sterile culture bags—video,EMEA,BCD,MAP,Awareness,CCCT-eT2-MAP Cell Therapy Day 56 EM9-Global,EM5085833,650,659,656,3,100%,143,22%,23,16%,
Magnetic isolation in sterile culture bags—video,To Be Mapped,BCD,MAP,Awareness,CCCT-eT2-MAP Cell Therapy Day 56 EM9-Global,EM5085833,1179,1191,1175,16,99%,300,25%,71,24%,
MabCaptureC新型Protein A亲和层析填料高燃来袭，免费申请试用哦！,GC,To Be Mapped,Batch & Blast,To Be Mapped,EDM_PA_20220727,EM5094670,147,147,146,1,99%,30,20%,4,13%,
mAb 정제가 고민되신다면? 새로운 크로마토그래피 레진을 확인해 보세요.,APJ,To Be Mapped,Batch & Blast,Awareness,EM5107091_New_POROS_mixed_mode_resin_awareness,EM5107091,1815,1815,1815,0,100%,506,28%,30,6%,
Lot-release mycoplasma detection solutions,AMER,PPA,MAP,Cross-Sell,eP6 - MAP - PA MycoSEQ 1.0 - Product Intro - EM1 -,EM5091495,1224,1260,1255,5,100%,584,46%,131,22%,$93955
Lot-release mycoplasma detection solutions,APJ,PPA,MAP,Cross-Sell,eP6 - MAP - PA MycoSEQ 1.0 - Product Intro - EM1 -,EM5091495,158,161,161,0,100%,62,39%,30,48%,
Lot-release mycoplasma detection solutions,EMEA,PPA,MAP,Cross-Sell,eP6 - MAP - PA MycoSEQ 1.0 - Product Intro - EM1 -,EM5091495,677,694,693,1,100%,285,41%,209,73%,
Lot-release mycoplasma detection solutions,To Be Mapped,PPA,MAP,Cross-Sell,eP6 - MAP - PA MycoSEQ 1.0 - Product Intro - EM1 -,EM5091495,514,527,525,2,100%,205,39%,87,42%,
Looking to simplify AAVX ligand quantitation?,AMER,PPA,Batch & Blast,Awareness,AAVx Email 1,EM5102934,307,307,307,0,100%,64,21%,0,0%,
Looking to simplify AAVX ligand quantitation?,EMEA,PPA,Batch & Blast,Awareness,AAVx Email 1,EM5102934,13080,13082,13082,0,100%,2995,23%,67,2%,$39405
Looking to simplify AAVX ligand quantitation?,To Be Mapped,PPA,Batch & Blast,Awareness,AAVx Email 1,EM5102934,426,426,426,0,100%,100,23%,5,5%,
"Looking for consistent, scalable performance?",AMER,SUD,Batch & Blast,Download,EM5101037_DynaDrive_scaleup,EM5101037,3425,3532,3532,0,100%,982,28%,86,9%,$861216
"Looking for consistent, scalable performance?",To Be Mapped,SUD,Batch & Blast,Download,EM5101037_DynaDrive_scaleup,EM5101037,313,316,316,0,100%,99,31%,5,5%,
Looking for a reliable way to produce cell culture?,AMER,SUD,Batch & Blast,Awareness,LPD-BPG-Regional Spin off Email-In-Stock Cell Fact,EM5097444,4500,4500,4500,0,100%,2181,48%,259,12%,$594207
Looking for a reliable way to produce cell culture?,APJ,SUD,Batch & Blast,Awareness,EM5097710_InStock_Cell_Factory_System,EM5097710,3050,3050,3040,10,100%,1264,41%,52,4%,
Looking for a reliable way to produce cell culture?,To Be Mapped,SUD,Batch & Blast,Awareness,EM5097710_InStock_Cell_Factory_System,EM5097710,784,784,779,5,99%,372,47%,24,6%,
Looking for a reliable way to produce cell culture?,To Be Mapped,SUD,Batch & Blast,Awareness,LPD-BPG-Regional Spin off Email-In-Stock Cell Fact,EM5097444,709,709,709,0,100%,441,62%,82,19%,
Level up your CHO cell productivity,AMER,BCD,Batch & Blast,Awareness,BPG-CCCT - SO EM Edits - Level Up your CHO Cell Pr,EM5105643,3725,3725,3725,0,100%,985,26%,67,7%,$1000
Level up your CHO cell productivity,EMEA,BCD,Batch & Blast,Download,CHO-Playbook-Email1-EMEA,EM5105654,8968,9010,9010,0,100%,1730,19%,84,5%,$5320
Level up your CHO cell productivity,To Be Mapped,BCD,Batch & Blast,Awareness,BPG-CCCT - SO EM Edits - Level Up your CHO Cell Pr,EM5105643,515,515,515,0,100%,107,21%,2,2%,
Let’s talk about AAV manufacturing,AMER,BCD,MAP,Awareness,eT3-BPG-CCCT-Gene Therapy MAP Bundle EM4-Process O,EM5100223,313,313,313,0,100%,61,19%,8,13%,
Let’s talk about AAV manufacturing,APJ,BCD,MAP,Awareness,eT3-BPG-CCCT-Gene Therapy MAP Bundle EM4-Process O,EM5100223,151,151,151,0,100%,37,25%,1,3%,
Let’s talk about AAV manufacturing,EMEA,BCD,MAP,Awareness,eT3-BPG-CCCT-Gene Therapy MAP Bundle EM4-Process O,EM5100223,126,126,126,0,100%,31,25%,1,3%,
Let us help you reduce tech transfer times,AMER,SUD,MAP,Awareness,eT5-MAP Email 6-Single-Use mAb Process Playbook-Gl,EM5090688,6333,6528,6514,14,100%,5330,82%,563,11%,$720069
Let us help you reduce tech transfer times,APJ,SUD,MAP,Awareness,EM5101712_Flexible-email-series-EM4,EM5101712,5507,5509,5509,0,100%,1208,22%,23,2%,$84843
Let us help you reduce tech transfer times,APJ,SUD,MAP,Awareness,eT5-MAP Email 6-Single-Use mAb Process Playbook-Gl,EM5090688,754,790,789,1,100%,300,38%,25,8%,
Let us help you reduce tech transfer times,EMEA,SUD,MAP,Awareness,eT5-MAP Email 6-Single-Use mAb Process Playbook-Gl,EM5090688,13749,16829,16752,77,100%,12417,74%,1892,15%,
Let us help you reduce tech transfer times,To Be Mapped,SUD,MAP,Awareness,EM5101712_Flexible-email-series-EM4,EM5101712,1283,1293,1293,0,100%,317,25%,7,2%,
Let us help you reduce tech transfer times,To Be Mapped,SUD,MAP,Awareness,eT5-MAP Email 6-Single-Use mAb Process Playbook-Gl,EM5090688,4072,4218,4159,59,99%,3249,77%,1270,39%,
Let us help,EMEA,PPA,Batch & Blast,Awareness,MycoSEQ Email 3-Email3-EMEA,EM5092328,5804,5804,5760,44,99%,6069,105%,1038,17%,$24004
Lentiviral titer quantitation by qPCR,AMER,PPA,Batch & Blast,Awareness,SO-no edits- PHA -ViralSEQ Lentivirus Physical Tit,EM5096790,3227,3227,3149,78,98%,1540,48%,159,10%,$58180
Lentiviral titer quantitation by qPCR,To Be Mapped,PPA,Batch & Blast,Awareness,SO-no edits- PHA -ViralSEQ Lentivirus Physical Tit,EM5096790,489,489,472,17,97%,246,50%,38,15%,
Learn the language of perfusion,AMER,To Be Mapped,MAP,Awareness,RO-eT7-Perfusion MAP EM8-Global,EM5078957,1267,1291,1287,4,100%,1101,85%,1035,94%,
Learn the language of perfusion,APJ,To Be Mapped,MAP,Awareness,RO-eT7-Perfusion MAP EM8-Global,EM5078957,1150,1155,1149,6,99%,588,51%,799,136%,
Learn the language of perfusion,To Be Mapped,To Be Mapped,MAP,Awareness,RO-eT7-Perfusion MAP EM8-Global,EM5078957,718,723,709,14,98%,536,74%,536,100%,
Learn more: new flexible Gibco™ HEK Feed Panel,AMER,BCD,Batch & Blast,Awareness,CCCT - SO EM No Edits - NPI HEK Feed Panel - AMERI,EM5101746,2177,2177,2177,0,100%,525,24%,27,5%,$1293849
Learn more about our bioprocessing solutions,EMEA,To Be Mapped,Batch & Blast,Event,BPI EU Post Event Emaill,EM5103044,3590,3592,3592,0,100%,3001,84%,92,3%,
Learn more about our bioprocessing solutions,To Be Mapped,To Be Mapped,Batch & Blast,Event,BPI EU Post Event Emaill,EM5103044,129,129,129,0,100%,156,121%,0,0%,
Learn how you can streamline your buffer preparation with Gibco™ Sodium Chloride,APJ,BCD,Batch & Blast,Awareness,EM5106357_Gibco_Sodium_Chloride_Global_Launch_Email,EM5106357,2012,2014,2014,0,100%,643,32%,14,2%,
Learn how you can streamline your buffer preparation with Gibco™ Sodium Chloride,To Be Mapped,BCD,Batch & Blast,Awareness,EM5106357_Gibco_Sodium_Chloride_Global_Launch_Email,EM5106357,503,506,506,0,100%,176,35%,1,1%,
Learn how to optimise your buffer preparation,AMER,BCD,Batch & Blast,Download,PLPS Whitepaper Email,EM5100686,157,158,158,0,100%,62,39%,7,11%,
Learn how to optimise your buffer preparation,EMEA,BCD,Batch & Blast,Download,PLPS Whitepaper Email,EM5100686,7411,7528,7528,0,100%,2453,33%,287,12%,
Learn how temperature verification helps optimal instrument performance,APJ,To Be Mapped,Batch & Blast,Awareness,EM5092930_Lab-Compliance-Connect-Jun-30th-Temp-Verification,EM5092930,5291,5291,5267,24,100%,2445,46%,781,32%,
Learn how temperature verification helps optimal instrument performance,To Be Mapped,To Be Mapped,Batch & Blast,Awareness,EM5092930_Lab-Compliance-Connect-Jun-30th-Temp-Verification,EM5092930,1310,1315,1303,12,99%,580,44%,98,17%,
Learn how Efficient-Pro system can maximise productivity,APJ,BCD,Batch & Blast,Awareness,EM5093276_NPI-Efficient-Pro-2,EM5093276,4156,4156,4145,11,100%,1854,45%,113,6%,$3225484
Learn how Efficient-Pro system can maximise productivity,EMEA,To Be Mapped,MAP,Awareness,Efficient Pro Email 4-Email19-EMEA,EM5092363,20514,20514,20404,110,99%,12827,63%,2362,18%,
Learn how Efficient-Pro system can maximise productivity,To Be Mapped,BCD,Batch & Blast,Awareness,EM5093276_NPI-Efficient-Pro-2,EM5093276,1284,1286,1271,15,99%,549,43%,82,15%,
Learn about the five topics on cell culture for effective biologics development,APJ,To Be Mapped,Batch & Blast,Webinar,EM5093762_Knolwedge_Culture_Basic_webinar_email,EM5093762,1162,1162,1141,21,98%,191,16%,24,13%,
Learn about the DynaSpin centrifuge,AMER,SUD,Batch & Blast,Awareness,BPG - SUD - SO - DynaSpin Launch - Overview - EM -,EM5103060,7374,7374,7374,0,100%,2488,34%,179,7%,$359364
Learn about the DynaSpin centrifuge,To Be Mapped,SUD,Batch & Blast,Awareness,BPG - SUD - SO - DynaSpin Launch - Overview - EM -,EM5103060,484,484,484,0,100%,177,37%,22,12%,
Learn about sustainability during harvest,AMER,SUD,Batch & Blast,Download,Minor Edits-DynaSpin Harvest Article Email-America,EM5100950,4460,4460,4460,0,100%,1299,29%,125,10%,$147065
Learn about sourcing cGMP chemicals,EMEA,BCD,Batch & Blast,Awareness,KC-Seminar-Request-Email2-EMEA,EM5104493,35309,35419,35419,0,100%,8901,25%,512,6%,$1017
Learn about outsourcing process liquids,AMER,BCD,Batch & Blast,Awareness,PLPS - KCS request Email 1,EM5103429,278,279,279,0,100%,79,28%,4,5%,
Learn about outsourcing process liquids,EMEA,BCD,Batch & Blast,Awareness,PLPS - KCS request Email 1,EM5103429,13142,13251,13251,0,100%,4081,31%,79,2%,
Learn about our new Fill Finish Solution,EMEA,To Be Mapped,Batch & Blast,Webinar,FillFinish-KC-Seminar-Email2-Email9-EMEA,EM5105130,7127,7129,7129,0,100%,2546,36%,54,2%,
Learn about cell dissociation alternatives,AMER,BCD,Batch & Blast,Download,CCCT - SO No Edits -Catalog Focus Campaign-Select,EM5090369,2468,2468,2457,11,100%,1210,49%,231,19%,$474215
Learn about cell dissociation alternatives,To Be Mapped,BCD,Batch & Blast,Download,CCCT - SO No Edits -Catalog Focus Campaign-Select,EM5090369,1077,1077,1054,23,98%,510,47%,161,32%,
Last chance to register: Optimising AAV purification event,AMER,To Be Mapped,Batch & Blast,Webinar,2023_Q1_AAV_Spotlight_Email1,EM5099940,285,366,366,0,100%,65,18%,3,5%,
Last chance to register: Optimising AAV purification event,EMEA,To Be Mapped,Batch & Blast,Webinar,2023_Q1_AAV_Spotlight_Email1,EM5099940,13674,18281,18281,0,100%,3822,21%,390,10%,
Last Chance to Register: Face-to-Face AAV User Meeting,EMEA,PPA,Batch & Blast,Event,AAV-UserEvent-LastChanceToRegister-Email13-EMEA,EM5105663,9912,9915,9915,0,100%,3089,31%,129,4%,$18014
Last chance to register for our Knowledge Culture workshop,AMER,To Be Mapped,Batch & Blast,Webinar,2022_Q3_KC Cell Therapy Workshop Email,EM5094769,109,109,109,0,100%,36,33%,14,39%,
Last chance to register for our Knowledge Culture workshop,EMEA,To Be Mapped,Batch & Blast,Webinar,2022_Q3_KC Cell Therapy Workshop Email,EM5094769,3769,3769,3731,38,99%,1358,36%,652,48%,
Last chance to register for our Knowledge Culture workshop,To Be Mapped,To Be Mapped,Batch & Blast,Webinar,2022_Q3_KC Cell Therapy Workshop Email,EM5094769,347,347,343,4,99%,141,41%,79,56%,
Last chance to join us at BPI Europe 2023,EMEA,To Be Mapped,Batch & Blast,Event,BPI Europe Email 3 Last Chance,EM5101380,2832,2834,2834,0,100%,338,12%,89,26%,
Last chance to join us at BPI Europe 2023,To Be Mapped,To Be Mapped,Batch & Blast,Event,BPI Europe Email 3 Last Chance,EM5101380,140,140,140,0,100%,20,14%,2,10%,
Last Call: Maximizing Productivity and Scalability for Biologics Development and Manufacturing Webinar – July 14,APJ,To Be Mapped,Batch & Blast,Webinar,EM5093846_APJ BPG LIve Webinar 3 - Maximizing productivity,EM5093846,4095,4098,4080,18,100%,1791,44%,64,4%,
LabCentral: cell therapy manufacturing workshop,AMER,To Be Mapped,Batch & Blast,Event,BPG - DIV - KC Cell Therapy Workshop - BnB EM - NA,EM5102985,4800,4800,4800,0,100%,1167,24%,108,9%,
LabCentral: cell therapy manufacturing workshop,To Be Mapped,To Be Mapped,Batch & Blast,Event,BPG - DIV - KC Cell Therapy Workshop - BnB EM - NA,EM5102985,436,436,436,0,100%,106,24%,3,3%,
Knowledge Culture Workshop: Modelling Costs in your Bioprocess,AMER,To Be Mapped,Batch & Blast,Awareness,2022_Q3_KC_Bioprocess_Cost Modelling_Email 1,EM5096104,623,629,626,3,100%,390,62%,62,16%,
Knowledge Culture Workshop: Modelling Costs in your Bioprocess,AMER,To Be Mapped,Batch & Blast,Event,2022_Q4_KC_SwissBiotech_Workshop_Email,EM5097763,303,309,308,1,100%,183,59%,17,9%,
Knowledge Culture Workshop: Modelling Costs in your Bioprocess,APJ,To Be Mapped,Batch & Blast,Awareness,2022_Q3_KC_Bioprocess_Cost Modelling_Email 1,EM5096104,131,131,131,0,100%,112,85%,13,12%,
Knowledge Culture Workshop: Modelling Costs in your Bioprocess,EMEA,To Be Mapped,Batch & Blast,Awareness,2022_Q3_KC_Bioprocess_Cost Modelling_Email 1,EM5096104,23937,24024,23806,218,99%,15329,64%,2036,13%,
Knowledge Culture Workshop: Modelling Costs in your Bioprocess,EMEA,To Be Mapped,Batch & Blast,Event,2022_Q4_KC_SwissBiotech_Workshop_Email,EM5097763,11445,11533,11422,111,99%,7415,64%,1006,14%,
Knowledge Culture Workshop: Modelling Costs in your Bioprocess,To Be Mapped,To Be Mapped,Batch & Blast,Awareness,2022_Q3_KC_Bioprocess_Cost Modelling_Email 1,EM5096104,2002,2005,1961,44,98%,1289,64%,364,28%,
Knowledge Culture Workshop: Modelling Costs in your Bioprocess,To Be Mapped,To Be Mapped,Batch & Blast,Event,2022_Q4_KC_SwissBiotech_Workshop_Email,EM5097763,918,921,890,31,97%,582,63%,135,23%,
Knowledge Culture Workshop: Microbial Bioprocessing Innovation,AMER,To Be Mapped,Batch & Blast,Event,2022_Q4_MicrobialWorkshop_Darmstadt_Email 1,EM5098225,273,273,273,0,100%,110,40%,7,6%,
Knowledge Culture Workshop: Microbial Bioprocessing Innovation,EMEA,To Be Mapped,Batch & Blast,Event,2022_Q4_MicrobialWorkshop_Darmstadt_Email 1,EM5098225,11485,11487,11487,0,100%,4666,41%,238,5%,
Knowledge Culture Workshop: Microbial Bioprocessing Innovation,To Be Mapped,To Be Mapped,Batch & Blast,Event,2022_Q4_MicrobialWorkshop_Darmstadt_Email 1,EM5098225,661,661,661,0,100%,380,57%,13,3%,
Knowledge Culture Seminar: book now,AMER,BCD,Batch & Blast,Awareness,BPG-CCCT-Email-DynaCellect Knowledge Culture Semin,EM5101278,3460,3460,3460,0,100%,919,27%,44,5%,$324001
Knowledge Culture Seminar: book now,To Be Mapped,BCD,Batch & Blast,Awareness,BPG-CCCT-Email-DynaCellect Knowledge Culture Semin,EM5101278,225,225,225,0,100%,55,24%,7,13%,
Knowledge culture cell therapy manufacturing workshop,AMER,To Be Mapped,Batch & Blast,Event,BPG - DIV - KC Cell Therapy Workshop - BnB EM - NA,EM5102985,6029,6039,6039,0,100%,1823,30%,105,6%,
Knowledge culture cell therapy manufacturing workshop,To Be Mapped,To Be Mapped,Batch & Blast,Event,BPG - DIV - KC Cell Therapy Workshop - BnB EM - NA,EM5102985,537,539,539,0,100%,223,41%,61,27%,
Keep up-to-date with the latest Gibco™ cell culture products in our quarterly newsletter,APJ,BCD,Batch & Blast,News Letter,EM5106244_Quarter-3-Gibco-Cell-Culture-Newsletter,EM5106244,2003,2005,2005,0,100%,317,16%,59,19%,$511600
Keep up-to-date with the latest Gibco™ cell culture products in our quarterly newsletter,To Be Mapped,BCD,Batch & Blast,News Letter,EM5106244_Quarter-3-Gibco-Cell-Culture-Newsletter,EM5106244,608,610,610,0,100%,114,19%,0,0%,
Join us in Boston for BPI 2023,AMER,To Be Mapped,Batch & Blast,Event,BPI Boston pre-show email - PRODUCT focus,EM5105340,10267,10267,10267,0,100%,2472,24%,127,5%,
Join us in Boston for BPI 2023,To Be Mapped,To Be Mapped,Batch & Blast,Event,BPI Boston pre-show email - PRODUCT focus,EM5105340,652,652,652,0,100%,160,25%,22,14%,
Join us at BPI US West 2023,AMER,To Be Mapped,Batch & Blast,Event,BPG-Revise Existing Email-BPI West 2023 pre-show e,EM5099478,12011,14624,14624,0,100%,3222,22%,397,12%,
Join us at BPI US West 2023,To Be Mapped,To Be Mapped,Batch & Blast,Event,BPG-Revise Existing Email-BPI West 2023 pre-show e,EM5099478,1154,1346,1346,0,100%,280,21%,34,12%,
Join us at BPI Europe 2023,AMER,To Be Mapped,Batch & Blast,Event,BPI Europe Email 1,EM5101306,348,348,348,0,100%,77,22%,0,0%,
Join us at BPI Europe 2023,EMEA,To Be Mapped,Batch & Blast,Event,BPI Europe Email 1,EM5101306,13329,13331,13331,0,100%,3337,25%,151,5%,
Join us at BPI Europe 2023,To Be Mapped,To Be Mapped,Batch & Blast,Event,BPI Europe Email 1,EM5101306,595,595,595,0,100%,141,24%,22,16%,
Join us at Biporocess Next Summit,EMEA,To Be Mapped,Batch & Blast,Awareness,2022_Q2_eT1-Bioprocess-Next-General-Email1-EMEA,EM5091761,15246,15246,15116,130,99%,7129,47%,1805,25%,
Join today's sustainability in bioprocessing event,EMEA,To Be Mapped,Batch & Blast,Webinar,KC-SustainabilityWebinarEmail-OnTheDay-Email11-EMEA,EM5105600,8180,8184,8184,0,100%,1449,18%,42,3%,
Join today's mAbs workflow event,EMEA,To Be Mapped,Batch & Blast,Webinar,KC_mAbs_workflow_Email 2 (Day of),EM5103103,4199,4201,4201,0,100%,896,21%,229,26%,
Join today\'s mRNA vaccine manufacturing event,AMER,To Be Mapped,Batch & Blast,Webinar,2022_Q3_mRNA webinar Sep 22 Day of Email,EM5094767,263,263,263,0,100%,35,13%,4,11%,
Join today\'s mRNA vaccine manufacturing event,EMEA,To Be Mapped,Batch & Blast,Webinar,2022_Q3_mRNA webinar Sep 22 Day of Email,EM5094767,9966,9966,9843,123,99%,1245,12%,211,17%,
Join today\'s mRNA vaccine manufacturing event,To Be Mapped,To Be Mapped,Batch & Blast,Webinar,2022_Q3_mRNA webinar Sep 22 Day of Email,EM5094767,1051,1051,998,53,95%,99,9%,21,21%,
Join today\'s baculovirus workflow event,EMEA,To Be Mapped,Batch & Blast,Event,KC Baculovirus workshop Day of-Email2-EMEA,EM5092031,9767,9767,9723,44,100%,7219,74%,1300,18%,
Join the mAb manufacturing revolution,AMER,BCD,MAP,Awareness,eT2-BPG-CCCT-Efficient Pro MAP Bundle-Download the,EM5099647,584,584,584,0,100%,139,24%,49,35%,
